source_id,ra,dec,phot_g_mean_mag,plx,e_plx,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion,DDF,STABLE
3836316568913115648,149.15207363889127,2.4123409097636963,17.925085,2.8218901249055706,0.13671632,31,0.8298175,1.3834889,,,,,,,,,,,,,,,,,,COSMOS,True
3836318772231545344,149.24531309496493,2.4939499839706407,14.164892,0.9542811992300688,0.020463757,31,0.46454448,1.1923372,,,,,,,,,,,,,,,,,,COSMOS,True
3836323784458193536,149.36220645075107,2.505608980901463,19.115673,2.1690921814293485,0.27513063,95,-0.5232466,1.4837067,,,,,,,,,,,,,,,,,,COSMOS,True
3836325025703963776,149.27050803431538,2.538467573547007,17.207724,0.8169312187048743,0.09354227,31,1.424721,1.251412,,,,,,,,,,,,,,,,,,COSMOS,True
3836339353714834048,149.99927745029046,2.6519057142493883,16.403736,0.4231890266684882,0.072236456,31,2.4197626,1.2219379,,,,,,,,,,,,,,,,,,COSMOS,True
3836345018776961920,149.89865617799293,2.7922929673731915,16.96982,0.4732364669295761,0.07827102,31,-1.6269841,1.2042333,,,,,,,,,,,,,,,,,,COSMOS,True
3836346771123182848,149.5312570023916,2.5992447399647785,18.28068,2.549842142168179,0.20436339,31,-0.47892764,1.4889755,,,,,,,,,,,,,,,,,,COSMOS,True
3836354987395794688,149.83012785271086,2.742559091487671,15.427421,0.96536338027422,0.03750053,31,1.4788437,1.2057444,,,,,,,,,,,,,,,,,,COSMOS,True
3836359587305628800,149.7412486203188,2.840467595999095,18.869413,2.7660337146927896,0.27382585,95,-1.3965502,1.4858642,,,,,,,,,,,,,,,,,,COSMOS,True
3836361653185019904,149.80363576544468,2.898203317987805,12.591811,1.6965748960976472,0.020288536,31,1.8826596,1.192223,,,,,,,,,,,,,,,,,,COSMOS,True
3836370414918357632,150.49735974778162,2.5937749254468545,14.020889,1.2871168662707702,0.02275114,31,3.2936096,1.1998742,,,,,,,,,,,,,,,,,,COSMOS,True
3836375878116768128,150.7425181831557,2.707612952041768,18.20741,1.1621091511974473,0.17930037,31,1.1704441,1.4130769,,,,,,,,,,,,,,,,,,COSMOS,True
3836377832326825472,150.47902296490432,2.6896222365332303,15.868254,1.0894829345613275,0.055609744,31,-0.14367469,1.2224802,,,,,,,,,,,,,,,,,,COSMOS,True
3836377901046306048,150.5131442781647,2.6972754024708716,16.065655,0.6628058852746723,0.073811494,31,1.053497,1.2086966,,,,,,,,,,,,,,,,,,COSMOS,True
3836382372107284352,150.2379141846698,2.6220846410702725,9.861228,3.497613704559926,0.027854683,31,2.302799,1.2238836,,,,,,,,,,,,,,,,,,COSMOS,True
3836396420945390208,150.49486491461423,2.8879772893475657,16.050173,0.8606668441582893,0.056068216,31,1.3125218,1.2197449,,,,,,,,,,,,,,,,,,COSMOS,True
3836401682280259584,150.86006960666168,2.8052145992126927,11.113538,3.6993873269925728,0.020463778,31,-2.451836,1.1900223,,,,,,,,,,,,,,,,,,COSMOS,True
3836416864989734016,150.65693725626477,2.9102280156649165,17.6353,0.7503032497008104,0.13087933,31,0.8124061,1.2304338,,,,,,,,,,,,,,,,,,COSMOS,True
3836424222268590848,150.64709792719978,3.0666746484398977,14.252351,1.379616650935867,0.021180125,31,0.9213461,1.2050827,,,,,,,,,,,,,,,,,,COSMOS,True
3836425699737335552,150.83779452626266,3.0644636009143422,14.622173,1.399692638853545,0.02633689,31,0.14230242,1.2094547,,,,,,,,,,,,,,,,,,COSMOS,True
3836440367050754688,150.13498145027197,2.8769533876266324,16.299995,1.4333732468042557,0.05486343,31,1.1100473,1.2578707,,,,,,,,,,,,,,,,,,COSMOS,True
3836442359915558912,150.29337144341676,2.83874814062711,18.727978,2.060716137452363,0.20533901,31,0.0791976,1.5147359,,,,,,,,,,,,,,,,,,COSMOS,True
3836443154484444288,150.35833295545817,2.9203462452383357,14.313774,0.530105896894602,0.027026586,31,1.7512766,1.1782485,,,,,,,,,,,,,,,,,,COSMOS,True
3836444146621793664,150.3199135620704,2.9354824591432056,14.383123,0.4708904050670823,0.022889096,31,-0.46276006,1.2262459,,,,,,,,,,,,,,,,,,COSMOS,True
3836445868903774464,150.34276945429457,2.985154110420156,14.928199,0.8320992535072679,0.02738432,31,-0.22867116,1.1965657,,,,,,,,,,,,,,,,,,COSMOS,True
3836464109629571968,150.19126523794213,3.1685580216621663,17.553196,1.0354747045471948,0.11098502,31,-0.57748723,1.3308245,,,,,,,,,,,,,,,,,,COSMOS,True
3836466583530728832,150.13257984852658,3.156469485321995,17.687374,4.5282927721495305,0.11996413,31,-0.98593116,1.4860805,,,,,,,,,,,,,,,,,,COSMOS,True
3836481534312179072,150.75929699585043,3.3079250515795695,16.663755,1.204720330193178,0.07854231,31,-0.4956501,1.2832377,,,,,,,,,,,,,,,,,,COSMOS,True
3836492048392108416,150.16270636925043,3.2837999536583977,16.416317,0.4327257784523481,0.07691097,31,0.49091116,1.2063622,,,,,,,,,,,,,,,,,,COSMOS,True
